REPORTE CONTRASTE DE AVALUOS:

Total registros en Excel: 789
Total registros en XML: 789
Registros en ambas fuentes: 789
Registros solo en Excel: 0 ()
Registros solo en XML: 0 ()
Diferencias en avalúo (en registros comunes con diferencia): 38
Número Predial: 254360100000000140901900000064, Diferencia Avalúo: -260.0
Número Predial: 254360100000000140901900000046, Diferencia Avalúo: 286.6999999997206
Número Predial: 254360100000000090002000000000, Diferencia Avalúo: -211.60000002384186
Número Predial: 254360100000000100901900000023, Diferencia Avalúo: -448.0
Número Predial: 254360100000000150901900000020, Diferencia Avalúo: -237.5
Número Predial: 254360100000000150901900000070, Diferencia Avalúo: 481.5999999977648
Número Predial: 254360100000000110001000000000, Diferencia Avalúo: -354.5000000074506
Número Predial: 254360100000000140901900000057, Diferencia Avalúo: -204.8000000002794
Número Predial: 254360100000000140901900000053, Diferencia Avalúo: -246.8000000002794
Número Predial: 254360100000000140901900000056, Diferencia Avalúo: -246.8000000002794
Número Predial: 254360100000000140901900000066, Diferencia Avalúo: -180.0
Número Predial: 254360100000000140901900000071, Diferencia Avalúo: -500.0
Número Predial: 254360100000000140901900000049, Diferencia Avalúo: -329.70000000018626
Número Predial: 254360100000000140901900000063, Diferencia Avalúo: -355.80000000074506
Número Predial: 254360100000000140901900000061, Diferencia Avalúo: -304.29999999981374
Número Predial: 254360100000000140901900000069, Diferencia Avalúo: 170.0
Número Predial: 254360100000000020061000000000, Diferencia Avalúo: -65.60000002384186
Número Predial: 254360100000000140901900000067, Diferencia Avalúo: 60.0
Número Predial: 254360100000000100901900000018, Diferencia Avalúo: 400.0
Número Predial: 254360100000000140901900000054, Diferencia Avalúo: 74.99999999953434
Número Predial: 254360100000000140901900000065, Diferencia Avalúo: 350.0
Número Predial: 254360100000000140901900000055, Diferencia Avalúo: 6.899999999906868
Número Predial: 254360100000000140901900000050, Diferencia Avalúo: -315.20000000018626
Número Predial: 254360100000000140901900000058, Diferencia Avalúo: -137.40000000037253
Número Predial: 254360100000000140901900000047, Diferencia Avalúo: 61.59999999962747
Número Predial: 254360100000000140006200000000, Diferencia Avalúo: -500.0
Número Predial: 254360100000000100901900000022, Diferencia Avalúo: -13.0
Número Predial: 254360100000000140901900000048, Diferencia Avalúo: 497.3999999994412
Número Predial: 254360100000000100901900000021, Diferencia Avalúo: 153.0
Número Predial: 254360100000000140901900000052, Diferencia Avalúo: 419.39999999990687
Número Predial: 254360100000000140901900000060, Diferencia Avalúo: -137.40000000037253
Número Predial: 254360100000000140901900000062, Diferencia Avalúo: 250.0
Número Predial: 254360100000000150901900000068, Diferencia Avalúo: 449.5999999977648
Número Predial: 254360100000000140901900000051, Diferencia Avalúo: -272.1000000005588
Número Predial: 254360100000000140901900000068, Diferencia Avalúo: 250.0
Número Predial: 254360100000000150901900000069, Diferencia Avalúo: 449.5999999977648
Número Predial: 254360100000000140901900000075, Diferencia Avalúo: -500.0
Número Predial: 254360100000000140901900000059, Diferencia Avalúo: -69.29999999981374



Diferencias en avalúo (en registros comunes con diferencia igual o superior a mil):
Cantidad de predios con diferencia significativa (en registros comunes con diferencia igual o superior a mil): 0


REPORTE DE CONTRASTE ÁREA CONSTRUIDA:

REPORTE DE CONTRASTE
Total registros en Excel: 742
Total registros en XML: 789
Registros en ambas fuentes: 742
Registros solo en Excel: 0
Registros solo en XML: 47
Lista de registros solo en XML: ['254360100000000140901900000059', '254360100000000150901900000070', '254360100000000100901900000022', '254360100000000140901900000053', '254360100000000140901900000060', '254360100000000140901900000057', '254360100000000140901900000051', '254360100000000100901900000021', '254360100000000150901900000020', '254360100000000140901900000068', '254360100000000140901900000074', '254360100000000140901900000048', '254360100000000140901900000047', '254360100000000140901900000070', '254360100000000140901900000056', '254360100000000140901900000067', '254360100000000140901900000061', '254360100000000100901900000000', '254360100000000150901900000000', '254360100000000140901900000049', '254360100000000140901900000064', '254360100000000140901900000066', '254360100000000140901900000076', '254360100000000110001000000000', '254360100000000140901900000052', '254360100000000140901900000065', '254360100000000140901900000072', '254360100000000140901900000050', '254360100000000140901900000054', '254360100000000140901900000055', '254360100000000140901900000062', '254360100000000150901900000068', '254360100000000080012000000000', '254360100000000140901900000075', '254360100000000100901900000018', '254360100000000140901900000069', '254360100000000150901900000069', '254360100000000090002000000000', '254360100000000140006200000000', '254360100000000140901900000058', '254360100000000100901900000023', '254360100000000020061000000000', '254360100000000140901900000046', '254360100000000140901900000073', '254360100000000140901900000071', '254360100000000140901900000063', '254360100000000140901900000077']

DIFERENCIAS EN ÁREA CONSTRUIDA (> 0.0):
Número Predial: 254360100000000210801800000027 - Diferencia: 0.0026640387239922347
Número Predial: 254360100000000020041000000000 - Diferencia: 0.0020340482340088784
Número Predial: 254360100000000050001000000000 - Diferencia: 0.0029845683102394105
Número Predial: 254360100000000090005000000000 - Diferencia: 0.0005339052767965313
Número Predial: 254360100000000090006000000000 - Diferencia: 0.0032138480769958733
Número Predial: 254360100000000200011000000000 - Diferencia: 0.000734964759004697
Número Predial: 254360100000000210801800000010 - Diferencia: 0.002304105928004674
Número Predial: 254360100000000060023000000000 - Diferencia: 0.0023400216090294634
Número Predial: 254360100000000230066000000000 - Diferencia: 0.0049204127249993235
Número Predial: 254360100000000080003000000000 - Diferencia: 0.003385372619050031
Número Predial: 254360100000000020063000000000 - Diferencia: 0.0011967530201957288
Número Predial: 254360100000000060103000000000 - Diferencia: 0.0007572243119966515
Número Predial: 254360100000000140004000000000 - Diferencia: 0.0021047314550060037
Número Predial: 254360100000000110016200000000 - Diferencia: 0.002099034286104029
Número Predial: 254360100000000200021000000000 - Diferencia: 0.004567672379693022
Número Predial: 254360100000000230026000000000 - Diferencia: 0.0018362809729950413
Número Predial: 254360100000000060050200000001 - Diferencia: 0.00429875198300067
Número Predial: 254360100000000040012000000000 - Diferencia: 2.3128749035095097e-05
Número Predial: 254360100000000060064000000000 - Diferencia: 3.170073898672854e-05
Número Predial: 254360100000000190019200000000 - Diferencia: 0.00234112545601306
Número Predial: 254360100000000200041000000000 - Diferencia: 0.003781099047401426
Número Predial: 254360100000000070007000000000 - Diferencia: 0.0012337484936040255
Número Predial: 254360100000000060021000000000 - Diferencia: 0.003483179094018851
Número Predial: 254360100000000060036000000000 - Diferencia: 0.0017298532129927935
Número Predial: 254360100000000150021200000000 - Diferencia: 0.0015149487280012863
Número Predial: 254360100000000010054000000000 - Diferencia: 0.0016731128089872982
Número Predial: 254360100000000010056000000000 - Diferencia: 0.0013616097379980374
Número Predial: 254360100000000200028000000000 - Diferencia: 0.004424889592002046
Número Predial: 254360100000000010037000000000 - Diferencia: 0.0037714776730126687
Número Predial: 254360100000000210801800000009 - Diferencia: 0.0012680124369026657
Número Predial: 254360100000000010017200000000 - Diferencia: 0.0011074936060140317
Número Predial: 254360100000000090009000000000 - Diferencia: 0.003465045330983685
Número Predial: 254360100000000060017000000000 - Diferencia: 0.004916887300502992
Número Predial: 254360100000000040011000000000 - Diferencia: 0.004166960771044614
Número Predial: 254360100000000130014000000000 - Diferencia: 0.002459485629003666
Número Predial: 254360100000000140042000000000 - Diferencia: 0.00444429171000138
Número Predial: 254360100000000210801800000011 - Diferencia: 0.003475315674961621
Número Predial: 254360100000000140007000000000 - Diferencia: 0.0014612508229561172
Número Predial: 254360100000000150029200000000 - Diferencia: 0.0029685807601100844
Número Predial: 254360100000000090014300000000 - Diferencia: 0.0019168370540114665
Número Predial: 254360100000000060028000000000 - Diferencia: 0.0049898461570023755
Número Predial: 254360100000000210801800000015 - Diferencia: 9.78005232354917e-10
Número Predial: 254360100000000170002200000000 - Diferencia: 0.002329285872008313
Número Predial: 254360100000000060039200000000 - Diferencia: 0.001029924980002761
Número Predial: 254360100000000100017000000000 - Diferencia: 0.0030641216611044797
Número Predial: 254360100000000210801800000006 - Diferencia: 0.003656779866020088
Número Predial: 254360100000000160003000000000 - Diferencia: 0.004249214504994825
Número Predial: 254360100000000050006000000000 - Diferencia: 0.002017426558012403
Número Predial: 254360100000000060060000000000 - Diferencia: 0.0024470723801641725
Número Predial: 254360100000000100013200000000 - Diferencia: 0.0013951925020023737
Número Predial: 254360100000000040011200000001 - Diferencia: 0.0034804574219720052
Número Predial: 254360100000000060060200000000 - Diferencia: 0.004100572311983797
Número Predial: 254360100000000140011200000000 - Diferencia: 0.0024716050356019537
Número Predial: 254360100000000110009200000002 - Diferencia: 0.0027636361670033693
Número Predial: 254360100000000140044000000000 - Diferencia: 0.0048476668869739115
Número Predial: 254360100000000230043000000000 - Diferencia: 0.0031308095840074657
Número Predial: 254360100000000060035200000000 - Diferencia: 0.0037697866409871494
Número Predial: 254360100000000110027000000000 - Diferencia: 0.0026012610282997173
Número Predial: 254360100000000150056000000000 - Diferencia: 0.001464633216016864
Número Predial: 254360100000000140038000000000 - Diferencia: 0.0022046595902054378
Número Predial: 254360100000000080005200000000 - Diferencia: 0.001674810227996204
Número Predial: 254360100000000150050000000000 - Diferencia: 0.002859685570001602
Número Predial: 254360100000000260012000000000 - Diferencia: 0.004707385138999598
Número Predial: 254360100000000200027000000000 - Diferencia: 0.0019116800399956446
Número Predial: 254360100000000040007000000000 - Diferencia: 0.004921423605026121
Número Predial: 254360100000000060085000000000 - Diferencia: 0.002959933007048221
Número Predial: 254360100000000210801800000001 - Diferencia: 2.7479032382871083e-09
Número Predial: 254360100000000080002000000000 - Diferencia: 0.0003240993870008424
